epoch,strategy,arm,current reward,cumulative reward,optimal
310,Explore,11,-0.4391965507540446,2072.457114157923,False
311,Explore,11,-0.5652766151477947,2071.891837542775,False
312,Explore,1,7.553764437349147,2079.445601980124,False
313,Explore,9,5.8608932925246915,2085.306495272649,False
314,Explore,10,12.110283641798253,2097.416778914447,True
315,Explore,10,12.276605230014377,2109.6933841444616,True
316,Explore,6,8.672394208798552,2118.3657783532603,False
317,Explore,4,10.234902831325158,2128.6006811845855,False
318,Explore,10,10.889669155668152,2139.490350340254,True
319,Explore,0,6.115384199808825,2145.6057345400627,False
320,Explore,11,-0.6724346456681941,2144.9332998943946,False
321,Explore,9,6.214422571269334,2151.147722465664,False
322,Explore,10,11.551799252851769,2162.699521718516,True
323,Explore,7,3.384401612924099,2166.08392333144,False
324,Explore,7,4.170970177074918,2170.254893508515,False
325,Explore,7,4.702100573102927,2174.956994081618,False
326,Explore,11,0.8452966238299499,2175.8022907054483,False
327,Explore,11,-0.338274699984519,2175.4640160054637,False
328,Explore,2,7.247965891585973,2182.7119818970496,False
329,Explore,3,10.638251961560693,2193.3502338586104,False
330,Explore,9,5.08656682121188,2198.436800679822,False
331,Explore,4,8.399767048044254,2206.8365677278666,False
332,Explore,6,7.5761333987267765,2214.412701126593,False
333,Explore,1,5.970511372068445,2220.3832124986616,False
334,Explore,3,10.374027191578108,2230.7572396902397,False
335,Explore,1,8.01425337972211,2238.7714930699617,False
336,Explore,3,10.874303923266986,2249.6457969932285,False
337,Explore,2,8.926278848168966,2258.5720758413972,False
338,Explore,1,6.021253544663429,2264.5933293860608,False
339,Explore,9,6.206728564296862,2270.8000579503578,False
340,Explore,10,11.608408364507236,2282.408466314865,True
341,Explore,11,0.7666587945756944,2283.1751251094406,False
342,Explore,3,12.161814422095539,2295.3369395315362,False
343,Explore,7,3.2639271200495035,2298.600866651586,False
344,Explore,0,9.008729745903455,2307.6095963974894,False
345,Explore,5,9.321645435775546,2316.931241833265,False
346,Explore,2,7.062298519953003,2323.993540353218,False
